customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
1,Margaret,Johnson,bradley51@example.net,01214960896,Studio 3\nMandy Creek,Roberthaven,Bolivia,WV08 1GS,21,Male,2017-06-13,"8351,8609,4954"
2,Freddy,Jäntsch,christoshuhn@example.org,0309097309,Marie-Louise-Reinhardt-Weg 29/70,Havelberg,Dschibuti,36570,41,Other,2020-10-20,"2402,1762"
3,Franck,Rousseau,bbriand@example.com,0463059963,"3, chemin de Lesage",Lebretonboeuf,Saint Pierre et Miquelon,80485,66,Male,2023-03-26,"9856,9770,5556"
4,Rosenda,Tur,millanemilio@example.com,+34807 649 020,Alameda de Leyre Izquierdo 74,Madrid,Tayikistán,10897,26,Other,2020-07-29,"8423,8162,5303"
5,Valeria,Wende,toralf09@example.net,02363 723354,Hethurring 6848,Brilon,Mikronesien,95062,29,Male,2024-01-13,"2589,7307,7174"
6,Rhys,Flynn,daviesolivia@example.com,0191 4960810,Flat 1\nCharles Views,Gerardstad,Montenegro,WA48 7EA,29,Female,2022-12-03,"7614,6441,8538"
7,Hermenegildo,Rosa,blancorosario@example.org,+34 825 810 324,Cañada Graciela Verdugo 3,Alicante,Uruguay,27639,31,Other,2018-11-21,7193
8,Malena,Soria,maxibejarano@example.org,+34974 01 38 07,Pasadizo de Noelia Camino 221 Piso 4 ,Melilla,Cuba,45691,41,Male,2012-09-29,
9,Mieszko,Smykla,kasicaleon@example.net,+48 534 270 844,al. Tulipanowa 425,Sochaczew,Botswana,88-905,45,Other,2019-07-23,"3710,3857,6543"
10,Marco,Tolentino,calogerobellini@example.com,+39 0789364654,"Vicolo Valmarana, 99 Appartamento 8",Vasto,Tanzania,98143,19,Other,2025-02-06,9396
11,Stanley,Morton,patriciapalmer@example.org,+44292018325,935 Hill Flats,Craigmouth,Kyrgyz Republic,E0 2JL,43,Male,2016-08-26,"4546,5440"
12,Sinaida,Hauffer,wenzel29@example.org,+49(0)0023 24342,Friedrich-Karl-Hermighausen-Straße 7-8,Lobenstein,Grönland,20019,73,Female,2021-02-19,"8821,3906"
13,Alderano,Caironi,gioacchinobelletini@example.net,0984264812,"Viale Claudio, 713 Piano 6",Telese Terme,Trinidad e Tobago,09049,77,Other,2019-11-05,
14,Gionata,Giannuzzi,chigigreca@example.org,+39 0931287447,"Borgo Eraldo, 8",Camarda,Cina,10078,21,Male,2025-01-10,2776
15,Andrea,Cuadrado,silvio21@example.net,+34843 068 080,Glorieta José Antonio Orozco 13 Apt. 09 ,Badajoz,Belice,27133,75,Female,2014-02-09,
16,Mariele,Meister,louiseflantz@example.com,07393812332,Kranzgasse 2,Genthin,St. Vincent und die Grenadinen,00962,21,Other,2017-05-08,3023
17,Jannik,Thommen,ehunziker@example.org,+41 81 503 27 82,Hugstrasse 93,Münsingen,Sierra Leone,3128,31,Female,2025-04-13,4506
18,Rita,Wilson,hancockdebra@example.net,01414960777,Studio 74\nKaren Stravenue,North Helenhaven,Iceland,G02 7FP,49,Other,2011-08-01,5468
19,Ruperto,Adán,azconajosep@example.org,+34983 800 869,Urbanización de Julie Donaire 30 Apt. 91 ,La Coruña,Islandia,29388,31,Male,2010-10-04,
20,Richard,Valette,etienneadam@example.net,+33 (0)4 13 69 52 93,"87, chemin de Aubry",Lagardedan,Nauru,29530,60,Male,2013-10-26,
21,Alan,Paier,gustavfehringer@example.org,05454 84644 636,Sagmeisterstr. 4/4,Pulkau,Uruguay,9793,71,Other,2022-04-30,"6766,1401"
22,Purificación,Porras,nereidaricart@example.com,+34846 346 438,Ronda de Abigaíl Fabra 80 Puerta 0 ,Cádiz,República Árabe Siria,38112,27,Female,2016-12-24,"3780,6789"
23,Nisa,Bischof,ngmeiner@example.net,04735 43259 869,Mandlstr. 7,Grieskirchen,Honduras,4390,25,Female,2010-10-30,"9182,3657,8048"
24,Andree,Schmiedecke,muratmartin@example.org,+49(0) 421782311,Kuno-Roskoth-Weg 90/35,Schrobenhausen,Aruba,89801,32,Male,2014-02-07,3278
25,Eduard,Dangl,victoriafritz@example.net,+43 430200470160,Kristian-Fuchs-Straße 5/3,Bad Ischl,Mongolei,9050,56,Female,2024-02-25,1593
