customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
20260425130454,Filip,Karkocha,dydakgustaw@example.net,+48 32 526 98 58,ulica Poziomkowa 722,Starachowice,Latvia,73-601,31,Male,2010-09-09,
20260425130455,Mauro,Abate,gasparevercelloni@example.org,34135661687,"Via Riccardi, 2 Appartamento 1",Caspoli,Nauru,62039,27,Male,2016-07-24,4909
20260425130456,Alphonse,Rémy,dupontagathe@example.com,+33 3 75 05 95 83,avenue Joly,Thierry,Paraguay,08620,30,Other,2014-10-02,"8439,9222,3960"
20260425130457,Paula,Misicher,gabriele58@example.com,0712509033,Mohamed-Weinhold-Gasse 62-43,Stuttgart,Malaysia,35283,26,Female,2010-03-02,
20260425130458,Milka,Martin,wibke99@example.com,+49(0) 224673403,Karl-Werner-Pieper-Allee 16,Schmölln,Philippinen,12019,65,Other,2015-09-01,"5295,1816,4344"
20260425130459,Tina,Dennis,louise14@example.org,0121 4960375,Studio 81e\nField Causeway,East Molly,United States Minor Outlying Islands,NR5V 9RN,22,Other,2015-05-22,
20260425130460,Stanley,Morgan,htomlinson@example.org,(0161) 4960701,25 Emma Haven,Lake Brucetown,Israel,KA96 1SW,72,Male,2022-01-24,4119
20260425130461,Lucie,Karz,knappeudo@example.net,0925251273,Hulda-Vollbrecht-Gasse 19,Rosenheim,Burkina Faso,44372,70,Female,2023-12-23,
20260425130462,Roy,Ward,lindsey08@example.com,0118 4960852,490 Dorothy Knoll,South Catherineville,Finland,G6U 4SJ,49,Female,2015-11-29,"2199,2747"
20260425130463,Franz,Klemt,gfoerster@example.net,03332 031255,Slawomir-Kühnert-Weg 75/75,Gotha,Westsahara,63263,80,Female,2021-08-06,4037
20260425130464,Leni,Frey,schlosserjustin@example.org,+43 1 70545 860,Leonardo-Schimpl-Gasse 834,Wolfsberg,Suriname,5397,66,Female,2010-10-12,9613
20260425130465,Victoria,Sastre,ucorrea@example.com,+34949866694,Pasadizo Ligia Montaña 7,Santa Cruz de Tenerife,Uruguay,40428,70,Male,2018-09-18,
20260425130466,Natalia,Maestre,jose-luis14@example.com,+34 848036419,Cuesta Joaquina Rozas 4 Piso 3 ,Ourense,Bulgaria,32699,43,Female,2025-02-04,
20260425130467,Reinhilde,Weinhold,iliasschulz@example.org,01603 61233,Geislerplatz 86-86,Eisenberg,Niederlande,14461,71,Female,2012-06-24,
20260425130468,Luce,Fernandes,inesgilbert@example.com,+33 3 83 33 24 21,"13, chemin de Briand",Moreno,Islande,57452,25,Other,2021-10-07,"2074,2067,3998"
20260425130469,Agnès,Hoareau,andretheophile@example.net,+33 (0)2 47 84 68 27,"5, chemin Aurore Vincent",Seguin,Pitcairn (Îles),04507,19,Other,2015-08-17,"5085,6116,3141"
20260425130470,Cyprian,Pociask,hennigleonard@example.net,+48 532 620 683,plac Tuwima 292,Świdnik,France,44-186,73,Male,2021-05-23,9756
20260425130471,Heribert,Holsten,ihornig@example.net,+49(0)5881432184,Gitte-Trapp-Straße 63/71,Saarlouis,Monaco,95760,76,Other,2014-06-21,
20260425130472,Curdin,Kälin,jorgestocker@example.org,+41 81 764 46 69,Schaubstrasse 18,Illnau-Effretikon,Vereinigtes Königreich,6525,60,Male,2012-08-27,
20260425130473,Rinor,Ziegler,maevafischer@example.net,071 436 97 15,Zehnderstrasse 18,Locarno,Jordanien,1334,78,Female,2024-12-11,"5766,6925"
20260425130474,Jasmina,Röhrdanz,hakan77@example.net,+49 (0) 4159 713990,Ljiljana-Nohlmans-Weg 2/5,Staßfurt,Sierra Leone,79299,26,Other,2021-07-29,3585
20260425130475,Sophie,Weibel,mara00@example.org,+41 31 328 96 50,Zimmermannstrasse 29,Wallisellen,Laos,9720,46,Female,2017-04-20,"5225,3225"
20260425130476,Isabella,Girschner,gumprichmaja@example.net,+49(0)1269 739266,Schönlandplatz 73-47,Kronach,Bouvetinsel,54410,41,Male,2025-10-15,"2992,6060,6801"
20260425130477,Aylin,Vogt,carolinaspreitzer@example.com,+43 337848603008,Andjela-Linder-Platz 14,Innsbruck,Indonesien,3946,70,Male,2020-09-09,
20260425130478,Eliza,Białka,mirgakarol@example.org,697 084 337,ulica Łabędzia 28,Świdnik,Sweden,23-802,42,Female,2015-09-16,
20260425130479,Joshua,Graham,thomasjustin@example.org,+44(0)29 2018591,0 Julia Divide,North Julian,Somalia,SS0X 1WN,36,Male,2011-03-29,6612
20260425130480,Sandra,Frelek,gabriel80@example.com,796 602 872,ul. Długosza 516,Brzeg,Guyana,85-987,41,Male,2023-10-16,"3053,3511,7556"
20260425130481,Arturo,Vasari,jerrigo@example.org,+39 09844276133,"Stretto Pederiva, 44",Penne,Croazia,62029,73,Male,2021-12-21,"4846,3001,7974"
20260425130482,Therese,Pechel,nhein@example.net,01700040851,Tröstring 53-37,Lüneburg,Nordmazedonien,98161,47,Other,2015-11-29,"5087,2473"
20260425130483,Fridolin,Peukert,phering@example.com,+49(0) 836919002,Schollplatz 7,Roth,Kirgisistan,55297,53,Male,2015-10-15,
20260425130484,Arnd,Mangold,tsteckel@example.org,+49(0) 161052691,Austermühleallee 48-27,Einbeck,Niger,49870,66,Female,2013-03-09,"7219,2079,7867"
20260425130485,Else,Holt,buttenikolaj@example.com,(04395) 906845,Daniele-Wagenknecht-Platz 665,Herzberg,Guinea-Bissau,69049,41,Male,2011-09-29,
