customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
1,Thomas,Weber,danielle-goff@example.org,+33 3 21 49 17 58,"8, rue Costa",Ollivier-sur-Pruvost,Tanzanie,23268,24,Other,2021-03-31,
2,Veronica,Nicolini,agnolo27@example.net,0165793677,"Rotonda Nadia, 30",Muggia,Austria,09043,53,Female,2013-10-02,"7362,6166"
3,Matthieu,Duhamel,richardfrancois@example.org,+33 3 63 56 99 69,"54, rue Gabrielle Hamel",Sainte Sébastien,Mexique,97179,27,Male,2021-11-20,"2176,4374"
4,Jane,Hayes,millsterence@example.org,+44(0)28 9018 0338,1 Geoffrey flats,Lake Stuart,Timor-Leste,M92 8XP,70,Other,2014-11-22,
5,Sante,Nievo,musattiilaria@example.net,+39 3280572680,"Piazza Alessia, 83",Arzignano,Emirati Arabi Uniti,21010,70,Other,2024-12-10,7965
6,Laure,Marion,dominiquelecomte@example.org,+33 4 56 73 63 58,rue Bernard,Martin,Koweit,41622,61,Female,2020-08-07,
7,Robert,Fehr,fbuhlmann@example.com,041 418 80 72,Leunbergerstrasse 64,Romanshorn,Angola,7096,33,Female,2019-09-04,"4470,4938"
8,Vincentio,Morandi,giannellierika@example.org,+39 368131421,"Canale Pierluigi, 851 Piano 6",Bora Bassa,Cipro,71100,71,Female,2010-09-07,
9,Burghard,Niemeier,joerg67@example.org,+49(0)3997647389,Elsa-Kraushaar-Allee 3,Iserlohn,Finnland,21443,49,Other,2024-04-22,"7366,8719,8544"
10,Katrin,Segebahn,rmuehle@example.com,+49(0)2890372356,Stadelmannallee 31,Werdau,Amerikanische Jungferninseln,48572,55,Other,2020-10-15,"2011,4882"
11,Sibel,Krein,jobstraedel@example.com,(06349) 397292,Kargeweg 6,Günzburg,Liberia,75130,60,Other,2022-03-29,"1664,9966,5597"
12,Leonard,Hulbój,sonia17@example.net,737 720 874,al. Kielecka 53,Września,Namibia,92-848,46,Female,2023-12-06,"4993,7078,9134"
13,Jordan,Jones,neil39@example.com,01614960912,148 Ashley cove,West Thomasbury,Hong Kong,G5W 4JJ,30,Female,2012-05-10,"9424,3786,5743"
14,Vinicio,Vilalta,brigidaluz@example.net,+34 873595607,Callejón Luis Miguel Estevez 6,Vizcaya,Costa Rica,37112,67,Other,2024-11-24,3205
15,Virginie,Delattre,timotheepelletier@example.net,+33 5 36 38 86 33,rue Michel Ferrand,Bourdon-la-Forêt,Finlande,54153,32,Female,2010-03-04,"3049,8519"
16,Helen,Gregory,trevorwebb@example.org,+44114 496 0495,3 Perkins flat,South Ameliaberg,Slovakia (Slovak Republic),B69 1DD,63,Other,2014-10-20,"8204,9465"
17,Aleksandr,Salz,rgerlach@example.org,+49(0)0576969674,Hellwigweg 9/3,Meißen,St. Pierre und Miquelon,13989,72,Female,2010-08-03,"3322,4498"
18,Fiamma,Zabarella,dmastroianni@example.org,+39 32999903247,"Rotonda Emilio, 2 Piano 0",San Terenzo Monti,Brunei Darussalam,50143,37,Other,2021-07-24,"4353,2796,3932"
19,Franziska,Gärtner,isa98@example.net,+43 423416446830,Clara-Schaffer-Ring 7/0,Feldkirchen,Weihnachtsinsel,2894,63,Other,2010-12-24,
20,Marthe,Legrand,bpeltier@example.net,+33 (0)5 82 00 26 38,"74, boulevard Noël Fournier",Martel-sur-Jacques,Moldavie,36267,20,Male,2018-03-28,
21,Achille,Venier,sperinapoleone@example.com,058631542,"Borgo Sonnino, 27 Piano 6",Treppo Carnico,San Bartolomeo,09025,23,Male,2019-04-08,8395
22,Ian,Kaur,antony06@example.com,+44(0)29 2018642,Studio 0\nBlake fort,East Seanchester,Gabon,N09 6FS,44,Other,2013-02-21,"4807,7332,2218"
23,Micha,Haase,ulrich27@example.org,+49(0)2681 640980,Natalie-Rust-Allee 37,Deggendorf,Kongo,29384,71,Female,2014-11-30,"6835,7322"
24,Heather,Cooper,cdodd@example.com,(0151) 4960213,Flat 4\nHarris bypass,New Jeffrey,Bolivia,TF5 1SJ,40,Female,2025-05-15,
25,Alessandra,Aloisio,zvanvitelli@example.org,+39 3791086097,"Incrocio Roncalli, 681",Suni,Cuba,50050,19,Male,2013-12-26,
26,Baudelio,Cortina,medinaestela@example.org,+34 843 97 10 98,Glorieta de Santiago Noguera 80,Álava,Kazajstán,18793,20,Other,2021-09-12,7985
27,Adélaïde,Fouquet,claire17@example.com,02 85 34 42 18,"407, rue de Courtois",Colin-les-Bains,Kiribati,85867,41,Female,2012-07-12,"7691,8242,2078"
28,Mandy,Liebelt,judith67@example.org,+49(0)9289 29764,Karin-Mosemann-Gasse 0,Badalzungen,Frankreich,09620,76,Other,2023-10-03,"5850,4551"
29,Susanne,Boulay,monnieranais@example.com,04 68 32 85 20,"4, avenue Poirier",Payet,Angola,04909,19,Female,2024-04-03,
30,Imelda,Foà,rsiffredi@example.net,05558363332,"Viale Silvia, 1",Pruno Di Stilves,Bangladesh,00028,62,Other,2015-11-25,5354
31,Marianna,Osman,kaczmarkiewiczborys@example.net,22 797 73 87,plac Zacisze 70,Brzeg,Portugal,44-828,55,Female,2012-02-13,9886
